,full_name,resale_price,registered_year,engine_capacity,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type
19,Kia Sonet HTX Plus Turbo iMT BSVI,1000000.0,2021,998,Manual,10000,First Owner,Petrol,5,18.2,SUV
20,Maruti Ciaz Alpha BSVI,785000.0,2020,1462,Manual,30000,Second Owner,Petrol,5,20.65,Sedan
21,Ford Ecosport 1.5 DV5 MT Ambiente,300000.0,2014,1498,Manual,150000,Third Owner,Diesel,5,22.7,SUV
22,Mitsubishi Outlander 2.4,397000.0,2011,2360,Automatic,80000,Second Owner,Petrol,5,11.3,SUV
23,Maruti Swift Dzire VDI,375000.0,2015,1248,Manual,20000,First Owner,Diesel,5,26.59,Sedan
24,Maruti Alto K10 LXI,100000.0,2011,998,Manual,120000,Third Owner,Petrol,5,20.92,Hatchback
25,Mitsubishi Outlander 2.4,397000.0,2011,2360,Automatic,80000,Second Owner,Petrol,5,11.3,SUV
26,Maruti Baleno Zeta,675000.0,2021,1197,Manual,40000,First Owner,Petrol,5,21.01,Hatchback
27,Hyundai Xcent 1.2 VTVT SX,465000.00000000006,2018,1197,Manual,60000,Second Owner,Petrol,5,20.14,Sedan
28,Maruti Swift Dzire VXI,480000.0,2015,1197,Manual,80000,Second Owner,Petrol,5,20.85,Sedan
29,Maruti Alto 800 LXI,225000.0,2014,796,Manual,100000,First Owner,Petrol,5,22.74,Hatchback
30,Maruti Wagon R VXI Optional,320000.0,2016,998,Manual,70000,Second Owner,Petrol,5,20.51,Hatchback
31,Hyundai Grand i10 Sportz,415000.00000000006,2015,1197,Manual,30000,First Owner,Petrol,5,18.9,Hatchback
32,Maruti Swift VDI,240000.0,2012,1248,Manual,120000,Third Owner,Diesel,5,22.9,Hatchback
33,Mahindra XUV500 W6 2WD,350000.0,2013,2179,Manual,100000,Third Owner,Diesel,7,15.1,SUV
34,Mahindra XUV500 W6 2WD,350000.0,2013,2179,Manual,100000,Third Owner,Diesel,7,15.1,SUV
35,Tata New Safari DICOR 2.2 EX 4x2,296000.0,2013,2179,Manual,90000,Second Owner,Diesel,7,11.57,SUV
36,Tata New Safari DICOR 2.2 EX 4x2,296000.0,2013,2179,Manual,90000,Second Owner,Diesel,7,11.57,SUV
37,Tata Tiago 1.2 Revotron XE,316000.0,2018,1199,Manual,100000,First Owner,Petrol,5,23.84,Hatchback
38,Maruti Vitara Brezza ZDi Plus Dual Tone,750000.0,2017,1248,Manual,100000,Second Owner,Diesel,5,24.3,SUV
39,Maruti Ertiga VDI,900000.0,2019,1248,Manual,120000,First Owner,Diesel,7,25.47,MUV
40,Maruti Celerio VXI BSVI,560000.0,2022,998,Manual,10000,First Owner,Petrol,5,25.24,Hatchback
41,Maruti Vitara Brezza ZDi Plus,800000.0,2017,1248,Manual,150000,First Owner,Diesel,5,24.3,SUV
42,Hyundai Creta 1.4 E Plus,900000.0,2017,1396,Manual,120000,Second Owner,Diesel,5,22.1,SUV
43,Maruti Alto 800 LXI,280000.0,2019,796,Manual,80000,First Owner,Petrol,5,22.05,Hatchback
44,Toyota Innova 2.5 E Diesel MS 7-seater,550000.0,2013,2494,Manual,90000,Second Owner,Diesel,7,11.4,Toyota
45,Toyota Innova 2.5 G (Diesel) 7 Seater BS III,250000.0,2009,2494,Manual,150000,First Owner,Diesel,8,12.8,MUV
46,Tata Manza Aqua Quadrajet,150000.0,2011,1248,Manual,150000,First Owner,Diesel,5,18.8,Sedan
47,Tata Manza Aqua Quadrajet,150000.0,2011,1248,Manual,150000,First Owner,Diesel,5,18.8,Sedan
48,Hyundai Grand i10 1.2 CRDi Sportz Option,480000.0,2017,1186,Manual,20000,First Owner,Diesel,5,24.0,Hatchback
49,Maruti Eeco CNG 5 Seater AC BSIV,300000.0,2017,1196,Manual,150000,First Owner,CNG,5,21.94,Minivans
50,Maruti Eeco CNG 5 Seater AC BSIV,300000.0,2017,1196,Manual,150000,First Owner,CNG,5,21.94,Minivans
51,Maruti Eeco CNG 5 Seater AC BSIV,300000.0,2017,1196,Manual,150000,First Owner,CNG,5,21.94,Minivans
52,Audi A4 2.0 TDI,1200000.0,2014,1968,Automatic,30000,Second Owner,Diesel,5,16.55,Sedan
53,Hyundai i20 Sportz BSVI,800000.0,2022,1197,Manual,10000,First Owner,Petrol,5,21.0,Hatchback
54,Volkswagen Polo Diesel Trendline 1.2L,200000.0,2012,1199,Manual,80000,Fifth Owner,Diesel,5,22.07,Hatchback
55,Maruti Vitara Brezza VDi,740000.0,2019,1248,Manual,80000,Second Owner,Diesel,5,24.3,SUV
56,Hyundai Santro Xing GLS,150000.0,2009,1086,Manual,30000,First Owner,Petrol,5,17.92,Hatchback
57,Maruti Swift Dzire VDI,520000.0,2016,1248,Manual,30000,First Owner,Diesel,5,26.59,Sedan
58,Hyundai i10 Sportz 1.2,170000.0,2010,1197,Manual,80000,Third Owner,Petrol,5,20.36,Hatchback
59,Hyundai Venue S BSIV,710000.0,2021,1197,Manual,30000,First Owner,Petrol,5,17.52,SUV
60,Skoda Rapid 1.0 TSI Onyx,950000.0,2021,999,Manual,20000,First Owner,Petrol,5,18.97,Sedan
61,Ford Figo Diesel ZXI,240000.0,2013,1399,Manual,70000,First Owner,Diesel,5,20.0,Hatchback
62,Skoda Rapid 1.0 TSI Onyx,930000.0000000001,2021,999,Manual,20000,First Owner,Petrol,5,18.97,Sedan
63,MG Hector Plus Select Diesel MT 7 STR,1922000.0,2022,1956,Manual,20000,First Owner,Diesel,7,16.56,SUV
64,Hyundai EON D Lite,150000.0,2013,814,Manual,50000,Second Owner,Petrol,5,21.1,Hatchback
65,Hyundai Grand i10 Magna,380000.0,2015,1197,Manual,30000,First Owner,Petrol,5,18.9,Hatchback
66,Tata Punch Adventure BSVI,590000.0,2021,1199,Manual,30000,First Owner,Petrol,5,20.09,SUV
67,Volkswagen Polo 1.5 TDI Comfortline,400000.0,2016,1498,Manual,150000,First Owner,Diesel,5,20.14,Hatchback
68,Toyota Etios Liva GD,300000.0,2013,1364,Manual,40000,First Owner,Diesel,5,23.59,Hatchback
69,Renault Duster 85PS Diesel RxE,500000.0,2017,1461,Manual,120000,First Owner,Diesel,5,19.87,SUV
70,Maruti Alto 800 LXI,210000.0,2015,796,Manual,20000,First Owner,Petrol,5,22.74,Hatchback
71,Maruti Wagon R LX Minor,100000.0,2009,998,Manual,90000,Second Owner,Petrol,5,18.9,Hatchback
72,Mahindra XUV500 W10 2WD,900000.0,2015,2179,Manual,50000,First Owner,Diesel,7,16.0,SUV
73,Kia Seltos HTX Diesel,1349000.0,2020,1493,Manual,70000,First Owner,Diesel,5,20.8,SUV
74,Maruti Swift Dzire VDI,650000.0,2019,1248,Manual,50000,First Owner,Diesel,5,28.4,Sedan
75,Maruti Wagon R LXI,475000.0,2019,998,Manual,20000,First Owner,Petrol,5,21.79,Hatchback
76,Nissan Terrano XE 85 PS,320000.0,2014,1461,Manual,90000,Second Owner,Diesel,5,20.45,SUV
77,Maruti Swift Dzire VDI,650000.0,2019,1248,Manual,50000,First Owner,Diesel,5,28.4,Sedan
78,Hyundai Grand i10 Sportz,370000.0,2015,1197,Manual,60000,Second Owner,Petrol,5,18.9,Hatchback
79,Maruti Wagon R LXI Minor,110000.00000000001,2009,1061,Manual,90000,Second Owner,Petrol,5,18.9,Hatchback
80,Chevrolet Spark 1.0 LT Option Pack,5000000.0,2009,995,Manual,60000,Second Owner,Petrol,5,16.0,Hatchback
81,Ford Figo Titanium Diesel,550000.0,2020,1499,Manual,60000,Second Owner,Diesel,5,24.4,Hatchback
82,Honda Jazz 1.5 E i DTEC,390000.0,2015,1498,Manual,90000,Second Owner,Diesel,5,27.3,Hatchback
83,Hyundai i10 Magna 1.1L,250000.0,2017,1086,Manual,20000,Second Owner,Petrol,5,19.81,Hatchback
84,Maruti Alto 800 VXI,200000.0,2013,796,Manual,80000,First Owner,Petrol,5,22.74,Hatchback
85,Maruti Swift Dzire VXI BSVI,725000.0,2022,1197,Manual,10000,First Owner,Petrol,5,22.41,Sedan
86,Honda Jazz 1.5 V i DTEC,450000.0,2017,1498,Manual,110000,First Owner,Diesel,5,27.3,Hatchback
87,Honda City i-DTEC ZX,750000.0,2017,1498,Manual,120000,First Owner,Diesel,5,25.6,Sedan
88,Toyota Etios Liva GD,215000.0,2011,1364,Manual,70000,Third Owner,Diesel,5,23.59,Hatchback
89,Maruti Alto 800 VXI,206000.0,2013,796,Manual,80000,First Owner,Petrol,5,22.74,Hatchback
90,Mahindra XUV500 W8 2WD,550000.0,2015,2179,Manual,120000,First Owner,Diesel,7,16.0,SUV
91,Maruti Wagon R LXI CNG,250000.0,2012,998,Manual,150000,First Owner,CNG,5,26.2,Hatchback
92,Maruti Alto 800 VXI,210000.0,2013,796,Manual,80000,First Owner,Petrol,5,22.74,Hatchback
93,Toyota Etios V,250000.0,2011,1496,Manual,70000,Second Owner,Petrol,5,17.6,Sedan
94,Renault KWID RXL,185000.0,2016,799,Manual,60000,Second Owner,Petrol,5,25.17,Hatchback
95,Hyundai Grand i10 Sportz,300000.0,2014,1197,Manual,70000,Third Owner,Petrol,5,18.9,Hatchback
96,Chevrolet Spark 1.0 LT,5000000.0,2009,995,Manual,60000,Third Owner,Petrol,5,18.0,Hatchback
97,Chevrolet Spark 1.0 LT,5000000.0,2009,995,Manual,60000,Second Owner,Petrol,5,18.0,Hatchback
98,Hyundai Grand i10 CRDi Sportz,250000.0,2013,1120,Manual,100000,Second Owner,Diesel,5,24.0,Hatchback
99,Maruti SX4 ZXI MT BSIV,190000.0,2012,1586,Manual,120000,Second Owner,Petrol,5,15.5,Sedan
100,Maruti Swift Dzire VXI 1.2,650000.0,2019,1197,Manual,40000,First Owner,Petrol,5,21.21,Sedan
101,Mahindra Scorpio VLX SE BSIV,500000.0,2013,2179,Manual,80000,First Owner,Diesel,8,15.4,SUV
102,Honda Amaze E i-Dtech,190000.0,2013,1498,Manual,120000,First Owner,Diesel,5,25.8,Sedan
103,Maruti Baleno 1.2 Zeta,570000.0,2019,1197,Manual,80000,Second Owner,Petrol,5,21.4,Hatchback
104,Maruti Swift Dzire ZDI,350000.0,2014,1248,Manual,80000,Second Owner,Diesel,5,23.4,Sedan
105,Honda City i DTEC S,380000.0,2014,1498,Manual,120000,Fourth Owner,Diesel,5,26.0,Sedan
106,Maruti Vitara Brezza VDi,780000.0,2019,1248,Manual,100000,First Owner,Diesel,5,24.3,SUV
107,Renault KWID STD,240000.0,2018,799,Manual,20000,First Owner,Petrol,5,25.17,Hatchback
108,Tata Nexon XM BSVI,840000.0,2021,1199,Manual,10000,First Owner,Petrol,5,17.33,SUV
109,Ford Ecosport 1.5 DV5 MT Trend,250000.0,2013,1498,Manual,100000,Second Owner,Diesel,5,22.7,SUV
110,Maruti Swift VDI BSIV,400000.0,2014,1248,Manual,100000,Second Owner,Diesel,5,25.2,Hatchback
111,Maruti Wagon R LXI Minor,150000.0,2009,1061,Manual,80000,First Owner,Petrol,5,18.9,Hatchback
112,Tata Indica Aqua 1.3 Quadrajet,100000.0,2009,1248,Manual,70000,Second Owner,Diesel,5,18.0,Hatchback
113,Mahindra XUV500 W7,1275000.0,2020,2179,Manual,50000,First Owner,Diesel,7,15.1,SUV
114,Datsun GO Plus T BSIV,270000.0,2015,1198,Manual,30000,Second Owner,Petrol,7,19.44,MUV
115,Mahindra XUV500 W7,1275000.0,2020,2179,Manual,50000,First Owner,Diesel,7,15.1,SUV
116,Chevrolet Beat Diesel,220000.00000000003,2012,936,Manual,70000,Second Owner,Diesel,5,25.44,Hatchback
117,Ford Aspire 1.5 TDCi Titanium,600000.0,2017,1498,Manual,50000,First Owner,Diesel,5,25.83,Sedan
118,Mahindra XUV500 W4,900000.0,2016,2179,Manual,50000,First Owner,Diesel,7,16.0,SUV
119,Maruti Wagon R ZXI 1.2,495000.0,2019,1197,Manual,20000,First Owner,Petrol,5,20.52,Hatchback
120,Mahindra XUV300 W8 Option AMT BSVI,980000.0000000001,2022,1197,Automatic,60000,First Owner,Petrol,5,16.5,SUV
121,Kia Seltos GTX DCT,1375000.0,2019,1353,Automatic,20000,First Owner,Petrol,5,16.2,SUV
122,Maruti Wagon R VXI BS IV,340000.0,2015,998,Manual,40000,First Owner,Petrol,5,20.51,Hatchback
123,MG Hector Sharp DCT,1300000.0,2020,1451,Automatic,40000,Second Owner,Petrol,5,13.96,SUV
124,Tata Nexon 1.2 Revotron XT,600000.0,2019,1198,Manual,70000,First Owner,Petrol,5,17.0,SUV
125,Honda Brio V MT,300000.0,2012,1198,Manual,60000,First Owner,Petrol,5,19.4,Hatchback
126,Renault Fluence Diesel E4,500000.0,2013,1461,Manual,150000,Second Owner,Diesel,5,21.8,Sedan
127,Toyota Yaris G Optional,1099000.0,2020,1496,Manual,40000,First Owner,Petrol,5,17.1,Sedan
128,Honda City 1.5 V MT,350000.0,2011,1497,Manual,90000,Second Owner,Petrol,5,17.0,Sedan
129,Renault Triber RXL BSIV,434999.99999999994,2019,999,Manual,20000,First Owner,Petrol,7,20.0,MUV
130,Maruti Wagon R LXI BS IV,186000.0,2012,998,Manual,100000,Second Owner,Petrol,5,18.9,Hatchback
131,Maruti Eeco CNG 5 Seater AC,625000.0,2022,1196,Manual,20000,First Owner,CNG,5,20.88,Minivans
132,Maruti Eeco CNG 5 Seater AC,625000.0,2022,1196,Manual,20000,First Owner,CNG,5,20.88,Minivans
133,Renault Duster 110PS Diesel RxZ,450000.0,2012,1461,Manual,120000,Second Owner,Diesel,5,19.01,SUV
134,Hyundai i20 1.4 Asta,650000.0,2017,1396,Manual,80000,First Owner,Diesel,5,22.54,Hatchback
135,Maruti Wagon R LXI CNG,350000.0,2018,998,Manual,150000,First Owner,CNG,5,26.6,Hatchback
136,Hyundai i10 Magna 1.2,130000.0,2009,1197,Manual,50000,First Owner,Petrol,5,20.36,Hatchback
137,Maruti Swift VDI BSIV,500000.0,2017,1248,Manual,70000,First Owner,Diesel,5,25.2,Hatchback
138,Mahindra Bolero B6 Opt BSVI,950000.0,2021,1493,Manual,10000,First Owner,Diesel,7,16.0,SUV
139,Hyundai Creta 1.6 CRDi SX,700000.0,2017,1582,Manual,120000,Third Owner,Diesel,5,19.67,SUV
140,Ford Fiesta 1.4 ZXi TDCi ABS,140000.0,2009,1399,Manual,120000,Third Owner,Diesel,5,17.8,Sedan
141,Tata New Safari DICOR 2.2 LX 4x2,200000.0,2010,2179,Manual,120000,First Owner,Diesel,7,11.57,SUV
142,Renault KWID Climber 1.0 AMT,320000.0,2018,999,Automatic,20000,First Owner,Petrol,5,24.04,Hatchback
143,Hyundai i10 Magna,200000.0,2011,1197,Manual,40000,First Owner,Petrol,5,20.36,Hatchback
144,Hyundai i20 Magna 1.2,409999.99999999994,2015,1197,Manual,90000,Second Owner,Petrol,5,18.6,Hatchback
145,Maruti Swift VXI,440000.00000000006,2016,1197,Manual,30000,Second Owner,Petrol,5,21.21,Hatchback
146,Jeep Compass Model S DCT BSVI,2500000.0,2022,1368,Automatic,20000,First Owner,Petrol,5,14.1,SUV
147,Maruti Swift Dzire VXI 1.2,650000.0,2019,1197,Manual,40000,First Owner,Petrol,5,21.21,Sedan
148,Toyota Glanza G,630000.0,2020,1197,Manual,30000,First Owner,Petrol,5,21.01,Hatchback
149,Toyota Etios GD,200000.0,2012,1364,Manual,150000,Fourth Owner,Diesel,5,23.59,Sedan
150,Maruti Eeco 7 Seater Standard BSIV,350000.0,2018,1196,Manual,100000,Second Owner,Petrol,7,15.37,Minivans
151,Honda Amaze S Diesel BSIV,400000.0,2016,1498,Manual,150000,First Owner,Diesel,5,27.4,Sedan
152,Chevrolet Beat LT,150000.0,2011,1199,Manual,90000,First Owner,Petrol,5,18.6,Hatchback
153,Honda Amaze E Diesel BSIV,425000.0,2016,1498,Manual,150000,First Owner,Diesel,5,27.4,Sedan
154,Maruti Swift Dzire VDI,425000.0,2016,1248,Manual,80000,Second Owner,Diesel,5,26.59,Sedan
155,Maruti Swift Dzire VXI,400000.0,2017,1197,Manual,70000,Second Owner,Petrol,5,20.85,Sedan
156,Maruti Swift VXI,459999.99999999994,2016,1197,Manual,30000,Second Owner,Petrol,5,21.21,Hatchback
157,Mahindra KUV 100 mFALCON D75 K8,330000.0,2017,1198,Manual,70000,First Owner,Diesel,6,25.32,SUV
158,Nissan Magnite XE BSVI,470000.0,2021,999,Manual,30000,First Owner,Petrol,5,18.75,SUV
159,Hyundai Creta 1.6 SX Automatic Diesel,1150000.0,2018,1582,Automatic,70000,Second Owner,Diesel,5,17.6,SUV
160,Maruti Ciaz Delta BSVI,725000.0,2020,1462,Manual,60000,Second Owner,Petrol,5,20.65,Sedan
161,Hyundai i20 Active 1.4 SX,400000.0,2015,1396,Manual,80000,Third Owner,Diesel,5,21.19,Hatchback
162,Hyundai Grand i10 CRDi Asta,250000.0,2013,1120,Manual,150000,First Owner,Diesel,5,24.0,Hatchback
163,MG Astor Sharp BSVI,1450000.0,2022,1498,Manual,40000,First Owner,Petrol,5,15.43,SUV
164,Hyundai i20 Sportz 1.2,690000.0,2020,1197,Manual,40000,First Owner,Petrol,5,18.6,Hatchback
165,Hyundai i20 Asta 1.2,350000.0,2015,1197,Manual,120000,Fourth Owner,Petrol,5,18.6,Hatchback
167,Hyundai i20 Asta 1.2,350000.0,2015,1197,Manual,120000,Fourth Owner,Petrol,5,18.6,Hatchback
168,Hyundai i20 Active 1.4 SX,400000.0,2015,1396,Manual,80000,Third Owner,Diesel,5,21.19,Hatchback
169,Maruti Ertiga ZDI,425000.0,2013,1248,Manual,80000,Third Owner,Diesel,7,20.77,MUV
170,Audi Q3 2.0 TDI Quattro Premium Plus,1100000.0,2014,1968,Automatic,80000,Second Owner,Diesel,5,15.73,SUV
171,Tata Punch Pure Rhythm BSVI,600000.0,2022,1199,Manual,10000,First Owner,Petrol,5,20.09,SUV
172,Hyundai i20 Magna,150000.0,2009,1197,Manual,150000,Third Owner,Petrol,5,18.5,Hatchback
173,Honda CR-V 2.4 4WD AT,170000.0,2004,2354,Automatic,150000,Second Owner,Petrol,5,10.1,SUV
174,Maruti Wagon R LXI CNG,160000.0,2011,998,Manual,70000,Fourth Owner,CNG,5,26.2,Hatchback
175,Hyundai i20 Magna,140000.0,2009,1197,Manual,150000,Second Owner,Petrol,5,18.5,Hatchback
176,Skoda Fabia 1.2 TDI Active Plus,140000.0,2011,1199,Manual,90000,Third Owner,Diesel,5,20.86,Hatchback
177,Mahindra Thar LX 4-Str Hard Top Diesel BSVI,1500000.0,2021,2184,Manual,50000,Second Owner,Diesel,4,15.2,SUV
178,Maruti Wagon R VXI BS IV,225000.0,2011,998,Manual,60000,First Owner,Petrol,5,18.9,Hatchback
179,Hyundai i20 Petrol Magna,550000.0,2019,1197,Manual,40000,Second Owner,Petrol,5,18.6,Hatchback
180,Maruti A-Star Vxi,140000.0,2009,998,Manual,60000,First Owner,Petrol,5,19.0,Hatchback
181,Maruti Wagon R LXI CNG,400000.0,2017,998,Manual,20000,First Owner,CNG,5,26.6,Hatchback
182,Hyundai Verna CRDi 1.6 SX Option,900000.0,2018,1582,Manual,90000,First Owner,Diesel,5,22.0,Sedan
183,Honda City 1.5 E MT,315000.0,2010,1497,Manual,80000,First Owner,Petrol,5,17.0,Sedan
184,Ford Ecosport 1.5 DV5 MT Trend,350000.0,2013,1498,Manual,120000,First Owner,Diesel,5,22.7,SUV
185,Hyundai EON D Lite Plus,140000.0,2013,814,Manual,100000,Second Owner,Petrol,5,21.1,Hatchback
186,Maruti Baleno Delta,700000.0,2021,1197,Manual,30000,First Owner,Petrol,5,21.01,Hatchback
187,Toyota Urban cruiser Premium AT,880000.0000000001,2020,1462,Automatic,50000,First Owner,Petrol,5,18.76,SUV
188,BMW 3 Series 320d,1000000.0,2010,1995,Automatic,100000,Second Owner,Diesel,5,13.2,Sedan
189,Maruti Swift VXI with ABS,215000.0,2010,1197,Manual,120000,First Owner,Petrol,5,16.6,Hatchback
190,Renault Duster 110PS Diesel RxZ,500000.0,2013,1461,Manual,150000,First Owner,Diesel,5,19.01,SUV
191,Chevrolet Tavera 2 LS B4 7 Str BSIII,240000.0,2012,2499,Manual,150000,Second Owner,Diesel,7,14.8,MUV
192,Tata Zest Quadrajet 1.3 XM,320000.0,2016,1248,Manual,90000,Third Owner,Diesel,5,23.0,Sedan
193,Maruti Wagon R LXI BS IV,200000.0,2012,998,Manual,150000,Third Owner,Petrol,5,18.9,Hatchback
194,Maruti Wagon R LXI Optional,400000.0,2017,998,Manual,30000,First Owner,Petrol,5,20.51,Hatchback
195,Maruti Ritz VDi,125000.0,2010,1248,Manual,100000,Second Owner,Diesel,5,21.1,Hatchback
196,Hyundai i20 1.2 Asta,500000.0,2018,1197,Manual,50000,First Owner,Petrol,5,18.6,Hatchback
197,Tata Tiago 1.05 Revotorq XT,380000.0,2017,1047,Manual,70000,First Owner,Diesel,5,27.28,Hatchback
198,Chevrolet Beat Diesel,150000.0,2011,936,Manual,80000,First Owner,Diesel,5,25.44,Hatchback
199,Hyundai Grand i10 1.2 CRDi Magna,509999.99999999994,2017,1186,Manual,60000,First Owner,Diesel,5,24.0,Hatchback
200,Mahindra Scorpio VLX SE BSIV,300000.0,2011,2179,Manual,150000,Second Owner,Diesel,8,15.4,SUV
201,Mahindra Scorpio VLX SE BSIV,300000.0,2011,2179,Manual,150000,Second Owner,Diesel,8,15.4,SUV
202,Maruti Wagon R VXI BS IV,250000.0,2015,998,Manual,50000,Third Owner,Petrol,5,20.51,Hatchback
203,Maruti Swift Dzire VDI,400000.0,2015,1248,Manual,120000,Third Owner,Diesel,5,26.59,Sedan
204,Hyundai Verna 1.6 SX,370000.0,2012,1582,Manual,90000,Second Owner,Diesel,5,22.32,Sedan
206,Audi Q3 30 TFSI Premium FWD,2480000.0,2018,1395,Automatic,45000,Second Owner,Petrol,5,16.9,SUV
207,BMW 6 Series GT 630i Luxury Line 2018-2021,4690000.0,2018,1998,Automatic,38000,First Owner,Petrol,4,14.28,Sedan
208,Audi A6 35 TFSI Matrix,2190000.0,2015,1798,Automatic,49000,Second Owner,Petrol,5,15.26,Sedan
209,Audi A4 35 TDI Premium Plus,2290000.0,2017,1968,Automatic,46000,Second Owner,Diesel,5,18.25,Sedan
210,Audi Q3 35 TDI Quattro Premium Plus,1390000.0,2014,1968,Automatic,29000,First Owner,Diesel,5,15.73,SUV
211,Audi A4 30 TFSI Technology,2790000.0,2016,1395,Automatic,27000,First Owner,Petrol,5,17.84,Sedan
212,Mercedes-Benz E-Class E250 CDI,1190000.0,2014,2143,Automatic,120000,Second Owner,Diesel,5,13.0,Sedan
213,Audi Q7 35 TDI Quattro Technology,3690000.0,2015,2967,Automatic,70000,First Owner,Diesel,7,12.07,SUV
214,Mercedes-Benz C-Class C 200 CGI Elegance,1190000.0,2012,1796,Automatic,72100,First Owner,Petrol,5,11.74,Sedan
216,Audi A3 35 TFSI Premium Plus,2490000.0,2018,1395,Automatic,46300,First Owner,Petrol,5,19.2,Sedan
218,Audi Q3 35 TDI Quattro Premium Plus,2089999.9999999998,2018,1968,Automatic,38000,Second Owner,Diesel,5,15.17,SUV
219,Audi A3 35 TFSI Premium Plus,2680000.0,2019,1395,Automatic,26300,First Owner,Petrol,5,19.2,Sedan
220,Audi RS5 Sportback BSVI,9490000.0,2021,2894,Automatic,5600,First Owner,Petrol,4,8.8,Coupe
221,Audi RS5 Sportback BSVI,9490000.0,2021,2894,Automatic,7000,First Owner,Petrol,4,8.8,Coupe
222,Audi Q5 40 TDI Premium Plus,3779999.9999999995,2019,1968,Automatic,48500,First Owner,Diesel,5,17.01,SUV
223,Audi A6 35 TDI,2980000.0,2018,1968,Automatic,38000,First Owner,Diesel,5,18.53,Sedan
224,Audi A4 1.8 TFSI Premium Plus,1490000.0,2013,1798,Automatic,43800,First Owner,Petrol,5,15.64,Sedan
225,Audi A6 45 TFSI Technology WO Matrix BSVI,6490000.000000001,2022,1984,Automatic,2300,First Owner,Petrol,5,14.11,Sedan
226,Audi A6 45 TFSI Technology WO Matrix BSVI,5190000.0,2021,1984,Automatic,24800,First Owner,Petrol,5,14.11,Sedan
227,Audi A6 45 TFSI Technology WO Matrix BSVI,4790000.0,2020,1984,Automatic,36700,First Owner,Petrol,5,14.11,Sedan
228,Audi A6 35 TFSI,2089999.9999999998,2015,1798,Automatic,79000,Second Owner,Petrol,5,15.26,Sedan
229,Audi A3 35 TDI Premium Plus,1989999.9999999998,2017,1968,Automatic,55400,First Owner,Diesel,5,20.38,Sedan
230,Audi A3 35 TFSI Premium Plus,2780000.0,2019,1395,Automatic,23700,First Owner,Petrol,5,19.2,Sedan
231,Audi A3 35 TFSI Premium Plus,2690000.0,2019,1395,Automatic,15600,First Owner,Petrol,5,19.2,Sedan
232,Audi A4 35 QL TFSI Premium Plus,3290000.0,2020,1395,Automatic,29900,First Owner,Petrol,5,17.84,Sedan
233,Audi A3 35 TDI Technology,2290000.0,2018,1968,Automatic,43500,First Owner,Diesel,5,20.38,Sedan
234,Audi A3 35 TFSI Technology,2690000.0,2019,1395,Automatic,44000,First Owner,Petrol,5,19.2,Sedan
235,Audi A6 35 TDI,1889999.9999999998,2015,1968,Automatic,85000,First Owner,Diesel,5,18.53,Sedan
236,Hyundai i20 1.4 Sportz,550000.0,2017,1396,Manual,100000,First Owner,Diesel,5,22.54,Hatchback
237,Maruti Swift AMT ZXI Plus,785000.0,2020,1197,Automatic,30000,First Owner,Petrol,5,21.21,Hatchback
