,full_name,brand,resale_price,registered_year,engine_capacity,kms_driven,owner_type,transmission_type,fuel_type,mileage,body_type,seats
52,Hyundai i20 Sportz BSVI,Hyundai,800000.0,2022,1197.0,10000,First Owner,Manual,Petrol,21.0,Hatchback,5
53,Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,200000.0,2012,1199.0,80000,Fifth Owner,Manual,Diesel,22.07,Hatchback,5
54,Maruti Vitara Brezza VDi,Maruti,740000.0,2019,1248.0,80000,Second Owner,Manual,Diesel,24.3,SUV,5
55,Hyundai Santro Xing GLS,Hyundai,150000.0,2009,1086.0,30000,First Owner,Manual,Petrol,17.92,Hatchback,5
56,Maruti Swift Dzire VDI,Maruti,520000.0,2016,1248.0,30000,First Owner,Manual,Diesel,26.59,Sedan,5
57,Hyundai i10 Sportz 1.2,Hyundai,170000.0,2010,1197.0,80000,Third Owner,Manual,Petrol,20.36,Hatchback,5
58,Hyundai Venue S BSIV,Hyundai,710000.0,2021,1197.0,30000,First Owner,Manual,Petrol,17.52,SUV,5
59,Skoda Rapid 1.0 TSI Onyx,Skoda,950000.0,2021,999.0,20000,First Owner,Manual,Petrol,18.97,Sedan,5
60,Ford Figo Diesel ZXI,Ford,240000.0,2013,1399.0,70000,First Owner,Manual,Diesel,20.0,Hatchback,5
61,Skoda Rapid 1.0 TSI Onyx,Skoda,930000.0000000001,2021,999.0,20000,First Owner,Manual,Petrol,18.97,Sedan,5
62,MG Hector Plus Select Diesel MT 7 STR,MG,1922000.0,2022,1956.0,20000,First Owner,Manual,Diesel,16.56,SUV,7
63,Hyundai EON D Lite,Hyundai,150000.0,2013,814.0,50000,Second Owner,Manual,Petrol,21.1,Hatchback,5
64,Hyundai Grand i10 Magna,Hyundai,380000.0,2015,1197.0,30000,First Owner,Manual,Petrol,18.9,Hatchback,5
65,Tata Punch Adventure BSVI,Tata,590000.0,2021,1199.0,30000,First Owner,Manual,Petrol,20.09,SUV,5
66,Volkswagen Polo 1.5 TDI Comfortline,Volkswagen,400000.0,2016,1498.0,150000,First Owner,Manual,Diesel,20.14,Hatchback,5
67,Toyota Etios Liva GD,Toyota,300000.0,2013,1364.0,40000,First Owner,Manual,Diesel,23.59,Hatchback,5
68,Renault Duster 85PS Diesel RxE,Renault,500000.0,2017,1461.0,120000,First Owner,Manual,Diesel,19.87,SUV,5
69,Maruti Alto 800 LXI,Maruti,210000.0,2015,796.0,20000,First Owner,Manual,Petrol,22.74,Hatchback,5
70,Maruti Wagon R LX Minor,Maruti,100000.0,2009,998.0,90000,Second Owner,Manual,Petrol,18.9,Hatchback,5
71,Mahindra XUV500 W10 2WD,Mahindra,900000.0,2015,2179.0,50000,First Owner,Manual,Diesel,16.0,SUV,7
72,Kia Seltos HTX Diesel,Kia,1349000.0,2020,1493.0,70000,First Owner,Manual,Diesel,20.8,SUV,5
73,Maruti Swift Dzire VDI,Maruti,650000.0,2019,1248.0,50000,First Owner,Manual,Diesel,28.4,Sedan,5
74,Maruti Wagon R LXI,Maruti,475000.0,2019,998.0,20000,First Owner,Manual,Petrol,21.79,Hatchback,5
75,Nissan Terrano XE 85 PS,Nissan,320000.0,2014,1461.0,90000,Second Owner,Manual,Diesel,20.45,SUV,5
76,Maruti Swift Dzire VDI,Maruti,650000.0,2019,1248.0,50000,First Owner,Manual,Diesel,28.4,Sedan,5
77,Hyundai Grand i10 Sportz,Hyundai,370000.0,2015,1197.0,60000,Second Owner,Manual,Petrol,18.9,Hatchback,5
78,Maruti Wagon R LXI Minor,Maruti,110000.00000000001,2009,1061.0,90000,Second Owner,Manual,Petrol,18.9,Hatchback,5
79,Chevrolet Spark 1.0 LT Option Pack,Chevrolet,5000000.0,2009,995.0,60000,Second Owner,Manual,Petrol,16.0,Hatchback,5
80,Ford Figo Titanium Diesel,Ford,550000.0,2020,1499.0,60000,Second Owner,Manual,Diesel,24.4,Hatchback,5
81,Honda Jazz 1.5 E i DTEC,Honda,390000.0,2015,1498.0,90000,Second Owner,Manual,Diesel,27.3,Hatchback,5
82,Hyundai i10 Magna 1.1L,Hyundai,250000.0,2017,1086.0,20000,Second Owner,Manual,Petrol,19.81,Hatchback,5
83,Maruti Alto 800 VXI,Maruti,200000.0,2013,796.0,80000,First Owner,Manual,Petrol,22.74,Hatchback,5
84,Maruti Swift Dzire VXI BSVI,Maruti,725000.0,2022,1197.0,10000,First Owner,Manual,Petrol,22.41,Sedan,5
85,Honda Jazz 1.5 V i DTEC,Honda,450000.0,2017,1498.0,110000,First Owner,Manual,Diesel,27.3,Hatchback,5
86,Honda City i-DTEC ZX,Honda,750000.0,2017,1498.0,120000,First Owner,Manual,Diesel,25.6,Sedan,5
87,Toyota Etios Liva GD,Toyota,215000.0,2011,1364.0,70000,Third Owner,Manual,Diesel,23.59,Hatchback,5
88,Maruti Alto 800 VXI,Maruti,206000.0,2013,796.0,80000,First Owner,Manual,Petrol,22.74,Hatchback,5
89,Mahindra XUV500 W8 2WD,Mahindra,550000.0,2015,2179.0,120000,First Owner,Manual,Diesel,16.0,SUV,7
90,Maruti Wagon R LXI CNG,Maruti,250000.0,2012,998.0,150000,First Owner,Manual,CNG,26.2,Hatchback,5
91,Maruti Alto 800 VXI,Maruti,210000.0,2013,796.0,80000,First Owner,Manual,Petrol,22.74,Hatchback,5
92,Toyota Etios V,Toyota,250000.0,2011,1496.0,70000,Second Owner,Manual,Petrol,17.6,Sedan,5
93,Renault KWID RXL,Renault,185000.0,2016,799.0,60000,Second Owner,Manual,Petrol,25.17,Hatchback,5
94,Hyundai Grand i10 Sportz,Hyundai,300000.0,2014,1197.0,70000,Third Owner,Manual,Petrol,18.9,Hatchback,5
95,Chevrolet Spark 1.0 LT,Chevrolet,5000000.0,2009,995.0,60000,Third Owner,Manual,Petrol,18.0,Hatchback,5
96,Chevrolet Spark 1.0 LT,Chevrolet,5000000.0,2009,995.0,60000,Second Owner,Manual,Petrol,18.0,Hatchback,5
97,Hyundai Grand i10 CRDi Sportz,Hyundai,250000.0,2013,1120.0,100000,Second Owner,Manual,Diesel,24.0,Hatchback,5
98,Maruti SX4 ZXI MT BSIV,Maruti,190000.0,2012,1586.0,120000,Second Owner,Manual,Petrol,15.5,Sedan,5
99,Maruti Swift Dzire VXI 1.2,Maruti,650000.0,2019,1197.0,40000,First Owner,Manual,Petrol,21.21,Sedan,5
100,Mahindra Scorpio VLX SE BSIV,Mahindra,500000.0,2013,2179.0,80000,First Owner,Manual,Diesel,15.4,SUV,8
101,Honda Amaze E i-Dtech,Honda,190000.0,2013,1498.0,120000,First Owner,Manual,Diesel,25.8,Sedan,5
102,Maruti Baleno 1.2 Zeta,Maruti,570000.0,2019,1197.0,80000,Second Owner,Manual,Petrol,21.4,Hatchback,5
103,Maruti Swift Dzire ZDI,Maruti,350000.0,2014,1248.0,80000,Second Owner,Manual,Diesel,23.4,Sedan,5
104,Honda City i DTEC S,Honda,380000.0,2014,1498.0,120000,Fourth Owner,Manual,Diesel,26.0,Sedan,5
105,Maruti Vitara Brezza VDi,Maruti,780000.0,2019,1248.0,100000,First Owner,Manual,Diesel,24.3,SUV,5
106,Renault KWID STD,Renault,240000.0,2018,799.0,20000,First Owner,Manual,Petrol,25.17,Hatchback,5
107,Tata Nexon XM BSVI,Tata,840000.0,2021,1199.0,10000,First Owner,Manual,Petrol,17.33,SUV,5
108,Ford Ecosport 1.5 DV5 MT Trend,Ford,250000.0,2013,1498.0,100000,Second Owner,Manual,Diesel,22.7,SUV,5
109,Maruti Swift VDI BSIV,Maruti,400000.0,2014,1248.0,100000,Second Owner,Manual,Diesel,25.2,Hatchback,5
110,Maruti Wagon R LXI Minor,Maruti,150000.0,2009,1061.0,80000,First Owner,Manual,Petrol,18.9,Hatchback,5
111,Tata Indica Aqua 1.3 Quadrajet,Tata,100000.0,2009,1248.0,70000,Second Owner,Manual,Diesel,18.0,Hatchback,5
112,Mahindra XUV500 W7,Mahindra,1275000.0,2020,2179.0,50000,First Owner,Manual,Diesel,15.1,SUV,7
113,Datsun GO Plus T BSIV,Datsun,270000.0,2015,1198.0,30000,Second Owner,Manual,Petrol,19.44,MUV,7
114,Mahindra XUV500 W7,Mahindra,1275000.0,2020,2179.0,50000,First Owner,Manual,Diesel,15.1,SUV,7
115,Chevrolet Beat Diesel,Chevrolet,220000.00000000003,2012,936.0,70000,Second Owner,Manual,Diesel,25.44,Hatchback,5
116,Ford Aspire 1.5 TDCi Titanium,Ford,600000.0,2017,1498.0,50000,First Owner,Manual,Diesel,25.83,Sedan,5
117,Mahindra XUV500 W4,Mahindra,900000.0,2016,2179.0,50000,First Owner,Manual,Diesel,16.0,SUV,7
118,Maruti Wagon R ZXI 1.2,Maruti,495000.0,2019,1197.0,20000,First Owner,Manual,Petrol,20.52,Hatchback,5
119,Mahindra XUV300 W8 Option AMT BSVI,Mahindra,980000.0000000001,2022,1197.0,60000,First Owner,Automatic,Petrol,16.5,SUV,5
120,Kia Seltos GTX DCT,Kia,1375000.0,2019,1353.0,20000,First Owner,Automatic,Petrol,16.2,SUV,5
121,Maruti Wagon R VXI BS IV,Maruti,340000.0,2015,998.0,40000,First Owner,Manual,Petrol,20.51,Hatchback,5
122,MG Hector Sharp DCT,MG,1300000.0,2020,1451.0,40000,Second Owner,Automatic,Petrol,13.96,SUV,5
123,Tata Nexon 1.2 Revotron XT,Tata,600000.0,2019,1198.0,70000,First Owner,Manual,Petrol,17.0,SUV,5
124,Honda Brio V MT,Honda,300000.0,2012,1198.0,60000,First Owner,Manual,Petrol,19.4,Hatchback,5
125,Renault Fluence Diesel E4,Renault,500000.0,2013,1461.0,150000,Second Owner,Manual,Diesel,21.8,Sedan,5
126,Toyota Yaris G Optional,Toyota,1099000.0,2020,1496.0,40000,First Owner,Manual,Petrol,17.1,Sedan,5
127,Honda City 1.5 V MT,Honda,350000.0,2011,1497.0,90000,Second Owner,Manual,Petrol,17.0,Sedan,5
128,Renault Triber RXL BSIV,Renault,434999.99999999994,2019,999.0,20000,First Owner,Manual,Petrol,20.0,MUV,7
129,Maruti Wagon R LXI BS IV,Maruti,186000.0,2012,998.0,100000,Second Owner,Manual,Petrol,18.9,Hatchback,5
130,Maruti Eeco CNG 5 Seater AC,Maruti,625000.0,2022,1196.0,20000,First Owner,Manual,CNG,20.88,Minivans,5
131,Maruti Eeco CNG 5 Seater AC,Maruti,625000.0,2022,1196.0,20000,First Owner,Manual,CNG,20.88,Minivans,5
132,Renault Duster 110PS Diesel RxZ,Renault,450000.0,2012,1461.0,120000,Second Owner,Manual,Diesel,19.01,SUV,5
133,Hyundai i20 1.4 Asta,Hyundai,650000.0,2017,1396.0,80000,First Owner,Manual,Diesel,22.54,Hatchback,5
134,Maruti Wagon R LXI CNG,Maruti,350000.0,2018,998.0,150000,First Owner,Manual,CNG,26.6,Hatchback,5
135,Hyundai i10 Magna 1.2,Hyundai,130000.0,2009,1197.0,50000,First Owner,Manual,Petrol,20.36,Hatchback,5
136,Maruti Swift VDI BSIV,Maruti,500000.0,2017,1248.0,70000,First Owner,Manual,Diesel,25.2,Hatchback,5
137,Mahindra Bolero B6 Opt BSVI,Mahindra,950000.0,2021,1493.0,10000,First Owner,Manual,Diesel,16.0,SUV,7
138,Hyundai Creta 1.6 CRDi SX,Hyundai,700000.0,2017,1582.0,120000,Third Owner,Manual,Diesel,19.67,SUV,5
139,Ford Fiesta 1.4 ZXi TDCi ABS,Ford,140000.0,2009,1399.0,120000,Third Owner,Manual,Diesel,17.8,Sedan,5
140,Tata New Safari DICOR 2.2 LX 4x2,Tata,200000.0,2010,2179.0,120000,First Owner,Manual,Diesel,11.57,SUV,7
141,Renault KWID Climber 1.0 AMT,Renault,320000.0,2018,999.0,20000,First Owner,Automatic,Petrol,24.04,Hatchback,5
142,Hyundai i10 Magna,Hyundai,200000.0,2011,1197.0,40000,First Owner,Manual,Petrol,20.36,Hatchback,5
143,Hyundai i20 Magna 1.2,Hyundai,409999.99999999994,2015,1197.0,90000,Second Owner,Manual,Petrol,18.6,Hatchback,5
144,Maruti Swift VXI,Maruti,440000.00000000006,2016,1197.0,30000,Second Owner,Manual,Petrol,21.21,Hatchback,5
145,Jeep Compass Model S DCT BSVI,Jeep,2500000.0,2022,1368.0,20000,First Owner,Automatic,Petrol,14.1,SUV,5
146,Maruti Swift Dzire VXI 1.2,Maruti,650000.0,2019,1197.0,40000,First Owner,Manual,Petrol,21.21,Sedan,5
147,Toyota Glanza G,Toyota,630000.0,2020,1197.0,30000,First Owner,Manual,Petrol,21.01,Hatchback,5
148,Toyota Etios GD,Toyota,200000.0,2012,1364.0,150000,Fourth Owner,Manual,Diesel,23.59,Sedan,5
149,Maruti Eeco 7 Seater Standard BSIV,Maruti,350000.0,2018,1196.0,100000,Second Owner,Manual,Petrol,15.37,Minivans,7
150,Honda Amaze S Diesel BSIV,Honda,400000.0,2016,1498.0,150000,First Owner,Manual,Diesel,27.4,Sedan,5
151,Chevrolet Beat LT,Chevrolet,150000.0,2011,1199.0,90000,First Owner,Manual,Petrol,18.6,Hatchback,5
152,Honda Amaze E Diesel BSIV,Honda,425000.0,2016,1498.0,150000,First Owner,Manual,Diesel,27.4,Sedan,5
153,Maruti Swift Dzire VDI,Maruti,425000.0,2016,1248.0,80000,Second Owner,Manual,Diesel,26.59,Sedan,5
154,Maruti Swift Dzire VXI,Maruti,400000.0,2017,1197.0,70000,Second Owner,Manual,Petrol,20.85,Sedan,5
155,Maruti Swift VXI,Maruti,459999.99999999994,2016,1197.0,30000,Second Owner,Manual,Petrol,21.21,Hatchback,5
156,Mahindra KUV 100 mFALCON D75 K8,Mahindra,330000.0,2017,1198.0,70000,First Owner,Manual,Diesel,25.32,SUV,6
157,Nissan Magnite XE BSVI,Nissan,470000.0,2021,999.0,30000,First Owner,Manual,Petrol,18.75,SUV,5
158,Hyundai Creta 1.6 SX Automatic Diesel,Hyundai,1150000.0,2018,1582.0,70000,Second Owner,Automatic,Diesel,17.6,SUV,5
159,Maruti Ciaz Delta BSVI,Maruti,725000.0,2020,1462.0,60000,Second Owner,Manual,Petrol,20.65,Sedan,5
160,Hyundai i20 Active 1.4 SX,Hyundai,400000.0,2015,1396.0,80000,Third Owner,Manual,Diesel,21.19,Hatchback,5
161,Hyundai Grand i10 CRDi Asta,Hyundai,250000.0,2013,1120.0,150000,First Owner,Manual,Diesel,24.0,Hatchback,5
162,MG Astor Sharp BSVI,MG,1450000.0,2022,1498.0,40000,First Owner,Manual,Petrol,15.43,SUV,5
163,Hyundai i20 Sportz 1.2,Hyundai,690000.0,2020,1197.0,40000,First Owner,Manual,Petrol,18.6,Hatchback,5
164,Hyundai i20 Asta 1.2,Hyundai,350000.0,2015,1197.0,120000,Fourth Owner,Manual,Petrol,18.6,Hatchback,5
165,Hyundai i20 Asta 1.2,Hyundai,350000.0,2015,1197.0,120000,Fourth Owner,Manual,Petrol,18.6,Hatchback,5
166,Hyundai i20 Active 1.4 SX,Hyundai,400000.0,2015,1396.0,80000,Third Owner,Manual,Diesel,21.19,Hatchback,5
167,Maruti Ertiga ZDI,Maruti,425000.0,2013,1248.0,80000,Third Owner,Manual,Diesel,20.77,MUV,7
168,Audi Q3 2.0 TDI Quattro Premium Plus,Audi,1100000.0,2014,1968.0,80000,Second Owner,Automatic,Diesel,15.73,SUV,5
169,Tata Punch Pure Rhythm BSVI,Tata,600000.0,2022,1199.0,10000,First Owner,Manual,Petrol,20.09,SUV,5
170,Hyundai i20 Magna,Hyundai,150000.0,2009,1197.0,150000,Third Owner,Manual,Petrol,18.5,Hatchback,5
171,Honda CR-V 2.4 4WD AT,Honda,170000.0,2004,2354.0,150000,Second Owner,Automatic,Petrol,10.1,SUV,5
172,Maruti Wagon R LXI CNG,Maruti,160000.0,2011,998.0,70000,Fourth Owner,Manual,CNG,26.2,Hatchback,5
173,Hyundai i20 Magna,Hyundai,140000.0,2009,1197.0,150000,Second Owner,Manual,Petrol,18.5,Hatchback,5
174,Skoda Fabia 1.2 TDI Active Plus,Skoda,140000.0,2011,1199.0,90000,Third Owner,Manual,Diesel,20.86,Hatchback,5
175,Mahindra Thar LX 4-Str Hard Top Diesel BSVI,Mahindra,1500000.0,2021,2184.0,50000,Second Owner,Manual,Diesel,15.2,SUV,4
176,Maruti Wagon R VXI BS IV,Maruti,225000.0,2011,998.0,60000,First Owner,Manual,Petrol,18.9,Hatchback,5
177,Hyundai i20 Petrol Magna,Hyundai,550000.0,2019,1197.0,40000,Second Owner,Manual,Petrol,18.6,Hatchback,5
178,Maruti A-Star Vxi,Maruti,140000.0,2009,998.0,60000,First Owner,Manual,Petrol,19.0,Hatchback,5
179,Maruti Wagon R LXI CNG,Maruti,400000.0,2017,998.0,20000,First Owner,Manual,CNG,26.6,Hatchback,5
180,Hyundai Verna CRDi 1.6 SX Option,Hyundai,900000.0,2018,1582.0,90000,First Owner,Manual,Diesel,22.0,Sedan,5
181,Honda City 1.5 E MT,Honda,315000.0,2010,1497.0,80000,First Owner,Manual,Petrol,17.0,Sedan,5
182,Ford Ecosport 1.5 DV5 MT Trend,Ford,350000.0,2013,1498.0,120000,First Owner,Manual,Diesel,22.7,SUV,5
183,Hyundai EON D Lite Plus,Hyundai,140000.0,2013,814.0,100000,Second Owner,Manual,Petrol,21.1,Hatchback,5
184,Maruti Baleno Delta,Maruti,700000.0,2021,1197.0,30000,First Owner,Manual,Petrol,21.01,Hatchback,5
185,Toyota Urban cruiser Premium AT,Toyota,880000.0000000001,2020,1462.0,50000,First Owner,Automatic,Petrol,18.76,SUV,5
186,BMW 3 Series 320d,BMW,1000000.0,2010,1995.0,100000,Second Owner,Automatic,Diesel,13.2,Sedan,5
187,Maruti Swift VXI with ABS,Maruti,215000.0,2010,1197.0,120000,First Owner,Manual,Petrol,16.6,Hatchback,5
188,Renault Duster 110PS Diesel RxZ,Renault,500000.0,2013,1461.0,150000,First Owner,Manual,Diesel,19.01,SUV,5
189,Chevrolet Tavera 2 LS B4 7 Str BSIII,Chevrolet,240000.0,2012,2499.0,150000,Second Owner,Manual,Diesel,14.8,MUV,7
190,Tata Zest Quadrajet 1.3 XM,Tata,320000.0,2016,1248.0,90000,Third Owner,Manual,Diesel,23.0,Sedan,5
191,Maruti Wagon R LXI BS IV,Maruti,200000.0,2012,998.0,150000,Third Owner,Manual,Petrol,18.9,Hatchback,5
192,Maruti Wagon R LXI Optional,Maruti,400000.0,2017,998.0,30000,First Owner,Manual,Petrol,20.51,Hatchback,5
193,Maruti Ritz VDi,Maruti,125000.0,2010,1248.0,100000,Second Owner,Manual,Diesel,21.1,Hatchback,5
194,Hyundai i20 1.2 Asta,Hyundai,500000.0,2018,1197.0,50000,First Owner,Manual,Petrol,18.6,Hatchback,5
195,Tata Tiago 1.05 Revotorq XT,Tata,380000.0,2017,1047.0,70000,First Owner,Manual,Diesel,27.28,Hatchback,5
196,Chevrolet Beat Diesel,Chevrolet,150000.0,2011,936.0,80000,First Owner,Manual,Diesel,25.44,Hatchback,5
197,Hyundai Grand i10 1.2 CRDi Magna,Hyundai,509999.99999999994,2017,1186.0,60000,First Owner,Manual,Diesel,24.0,Hatchback,5
198,Mahindra Scorpio VLX SE BSIV,Mahindra,300000.0,2011,2179.0,150000,Second Owner,Manual,Diesel,15.4,SUV,8
199,Mahindra Scorpio VLX SE BSIV,Mahindra,300000.0,2011,2179.0,150000,Second Owner,Manual,Diesel,15.4,SUV,8
200,Maruti Wagon R VXI BS IV,Maruti,250000.0,2015,998.0,50000,Third Owner,Manual,Petrol,20.51,Hatchback,5
201,Maruti Swift Dzire VDI,Maruti,400000.0,2015,1248.0,120000,Third Owner,Manual,Diesel,26.59,Sedan,5
202,Hyundai Verna 1.6 SX,Hyundai,370000.0,2012,1582.0,90000,Second Owner,Manual,Diesel,22.32,Sedan,5
203,Audi Q3 30 TFSI Premium FWD,Audi,2480000.0,2018,1395.0,45000,Second Owner,Automatic,Petrol,16.9,SUV,5
204,BMW 6 Series GT 630i Luxury Line 2018-2021,BMW,4690000.0,2018,1998.0,38000,First Owner,Automatic,Petrol,14.28,Sedan,4
205,Audi A6 35 TFSI Matrix,Audi,2190000.0,2015,1798.0,49000,Second Owner,Automatic,Petrol,15.26,Sedan,5
206,Audi A4 35 TDI Premium Plus,Audi,2290000.0,2017,1968.0,46000,Second Owner,Automatic,Diesel,18.25,Sedan,5
207,Audi Q3 35 TDI Quattro Premium Plus,Audi,1390000.0,2014,1968.0,29000,First Owner,Automatic,Diesel,15.73,SUV,5
208,Audi A4 30 TFSI Technology,Audi,2790000.0,2016,1395.0,27000,First Owner,Automatic,Petrol,17.84,Sedan,5
